Image_File,Modality,Bits_Stored,Shape,Original_Size_Bytes,Metadata_Size_Bytes,Parameter_Beta,Parameter_Codec,Stego_Capacity_Bits,Stego_Image_PSNR_dB,Stego_Image_SSIM,Final_Bin_Size_Bytes,CR,Bpp,Encoding_Time_s,Decoding_Time_s,Reversibility_Check
222.dcm,dx_8b,8,1024x1024,1049328,843,0.4,j2k,444496,65.22830151407864,0.9999652826827686,442452,2.3716199723359823,3.375640869140625,0.6184959411621094,0.13556766510009766,True
222.dcm,dx_8b,8,1024x1024,1049328,843,0.4,jls,444496,65.22830151407864,0.9999652826827686,438996,2.390290572123664,3.349273681640625,0.5023317337036133,0.10856342315673828,True
222.dcm,dx_8b,8,1024x1024,1049328,843,0.4,png,444496,65.22830151407864,0.9999652826827686,782804,1.3404734773966407,5.972320556640625,0.11667299270629883,0.08398222923278809,True
222.dcm,dx_8b,8,1024x1024,1049328,843,0.8,jxl,444496,54.266283794772654,0.9996216289061803,425367,2.466876838118613,3.2452926635742188,1.654139757156372,0.2951228618621826,True
222.dcm,dx_8b,8,1024x1024,1049328,843,0.8,j2k,444496,54.266283794772654,0.9996216289061803,443340,2.366869671132765,3.382415771484375,0.6832015514373779,0.1202237606048584,True
222.dcm,dx_8b,8,1024x1024,1049328,843,0.8,jls,444496,54.266283794772654,0.9996216289061803,439852,2.385638805780126,3.355804443359375,0.3992733955383301,0.11396098136901855,True
222.dcm,dx_8b,8,1024x1024,1049328,843,0.8,png,444496,54.266283794772654,0.9996216289061803,783176,1.3398367672145215,5.97515869140625,0.17133069038391113,0.25783324241638184,True
333.dcm,dx_8b,8,512x512,263032,1110,0.4,jxl,95872,61.15976493149631,0.9998797563377085,127312,2.066042478320975,3.88525390625,0.4033198356628418,0.39358019828796387,True
333.dcm,dx_8b,8,512x512,263032,1110,0.4,j2k,95872,61.15976493149631,0.9998797563377085,135715,1.9381203256824964,4.141693115234375,0.6242799758911133,0.18445515632629395,True
333.dcm,dx_8b,8,512x512,263032,1110,0.4,jls,95872,61.15976493149631,0.9998797563377085,130387,2.017317677375812,3.979095458984375,0.421306848526001,0.04595375061035156,True
333.dcm,dx_8b,8,512x512,263032,1110,0.4,png,95872,61.15976493149631,0.9998797563377085,185939,1.414614470337046,5.674407958984375,0.049776315689086914,0.03762459754943848,True
333.dcm,dx_8b,8,512x512,263032,1110,0.8,jxl,95872,50.617225882908485,0.998822762044392,127478,2.0633521078146817,3.89031982421875,0.43057823181152344,0.13978791236877441,True
333.dcm,dx_8b,8,512x512,263032,1110,0.8,j2k,95872,50.617225882908485,0.998822762044392,135943,1.9348697615912551,4.148651123046875,0.6681170463562012,0.09000158309936523,True
333.dcm,dx_8b,8,512x512,263032,1110,0.8,jls,95872,50.617225882908485,0.998822762044392,130599,2.0140429865466043,3.985565185546875,0.43784618377685547,0.03974270820617676,True
333.dcm,dx_8b,8,512x512,263032,1110,0.8,png,95872,50.617225882908485,0.998822762044392,185987,1.414249383021394,5.675872802734375,0.04989767074584961,0.026284217834472656,True
666.dcm,dx_8b,8,1024x1024,1049366,917,0.4,jxl,244416,68.02595126108054,0.9999421243437265,289351,3.626619572768022,2.2075729370117188,1.0841925144195557,0.2372438907623291,True
666.dcm,dx_8b,8,1024x1024,1049366,917,0.4,j2k,244416,68.02595126108054,0.9999421243437265,319697,3.282376750485616,2.4390945434570312,0.44361233711242676,0.1235666275024414,True
666.dcm,dx_8b,8,1024x1024,1049366,917,0.4,jls,244416,68.02595126108054,0.9999421243437265,304133,3.4503523129683393,2.3203506469726562,0.41887354850769043,0.10849428176879883,True
666.dcm,dx_8b,8,1024x1024,1049366,917,0.4,png,244416,68.02595126108054,0.9999421243437265,575445,1.8235730608485607,4.390296936035156,0.21637940406799316,0.08294916152954102,True
666.dcm,dx_8b,8,1024x1024,1049366,917,0.8,jxl,244416,57.468223584876874,0.9994700386249417,290293,3.6148512020613657,2.2147598266601562,1.1208829879760742,0.2376105785369873,True
666.dcm,dx_8b,8,1024x1024,1049366,917,0.8,j2k,244416,57.468223584876874,0.9994700386249417,320657,3.2725497961996775,2.4464187622070312,0.4576847553253174,0.11554074287414551,True
666.dcm,dx_8b,8,1024x1024,1049366,917,0.8,jls,244416,57.468223584876874,0.9994700386249417,305159,3.4387516016240713,2.3281784057617188,0.4056577682495117,0.13865113258361816,True
666.dcm,dx_8b,8,1024x1024,1049366,917,0.8,png,244416,57.468223584876874,0.9994700386249417,575885,1.8221797754760065,4.393653869628906,0.19069242477416992,0.07800912857055664,True
777.dcm,dx_8b,8,1024x1024,1049336,857,0.4,jxl,511776,64.71797486108088,0.9998425151650513,391522,2.680145687854067,2.9870758056640625,1.4513270854949951,0.23103547096252441,True
777.dcm,dx_8b,8,1024x1024,1049336,857,0.4,j2k,511776,64.71797486108088,0.9998425151650513,408450,2.569068429428327,3.1162261962890625,0.521754264831543,0.12894439697265625,True
777.dcm,dx_8b,8,1024x1024,1049336,857,0.4,jls,511776,64.71797486108088,0.9998425151650513,404978,2.5910938371960945,3.0897369384765625,0.44037628173828125,0.12958455085754395,True
777.dcm,dx_8b,8,1024x1024,1049336,857,0.4,png,511776,64.71797486108088,0.9998425151650513,731186,1.4351150049371841,5.5785064697265625,0.12174868583679199,0.0902566909790039,True
777.dcm,dx_8b,8,1024x1024,1049336,857,0.8,jxl,511776,53.60568035734002,0.9984295149464599,392515,2.673365349094939,2.9946517944335938,1.4250295162200928,0.25347328186035156,True
777.dcm,dx_8b,8,1024x1024,1049336,857,0.8,j2k,511776,53.60568035734002,0.9984295149464599,409300,2.5637332030295625,3.122711181640625,0.5032267570495605,0.11822056770324707,True
777.dcm,dx_8b,8,1024x1024,1049336,857,0.8,jls,511776,53.60568035734002,0.9984295149464599,405806,2.5858070112319678,3.0960540771484375,0.40141773223876953,0.1341691017150879,True
777.dcm,dx_8b,8,1024x1024,1049336,857,0.8,png,511776,53.60568035734002,0.9984295149464599,731344,1.4348049618237109,5.5797119140625,0.15117144584655762,0.10375618934631348,True
888.dcm,dx_8b,8,1024x1024,1049344,875,0.4,jxl,220080,65.00333775723148,0.9998418973403521,257734,4.071422474334003,1.9663543701171875,1.269120216369629,0.24393749237060547,True
888.dcm,dx_8b,8,1024x1024,1049344,875,0.4,j2k,220080,65.00333775723148,0.9998418973403521,288368,3.6389058425345393,2.2000732421875,0.47406625747680664,0.12017059326171875,True
888.dcm,dx_8b,8,1024x1024,1049344,875,0.4,jls,220080,65.00333775723148,0.9998418973403521,275552,3.8081523632563,2.102294921875,0.41330385208129883,0.14021968841552734,True
888.dcm,dx_8b,8,1024x1024,1049344,875,0.4,png,220080,65.00333775723148,0.9998418973403521,509000,2.061579567779961,3.88336181640625,0.18027067184448242,0.08884119987487793,True
888.dcm,dx_8b,8,1024x1024,1049344,875,0.8,jxl,220080,53.16979675033116,0.9985710255252639,258506,4.05926361477103,1.9722442626953125,1.2764737606048584,0.29451918601989746,True
888.dcm,dx_8b,8,1024x1024,1049344,875,0.8,j2k,220080,53.16979675033116,0.9985710255252639,289571,3.6237882937172574,2.2092514038085938,0.5481312274932861,0.10147881507873535,True
888.dcm,dx_8b,8,1024x1024,1049344,875,0.8,jls,220080,53.16979675033116,0.9985710255252639,276861,3.7901474024871686,2.1122817993164062,0.409254789352417,0.12532639503479004,True
888.dcm,dx_8b,8,1024x1024,1049344,875,0.8,png,220080,53.16979675033116,0.9985710255252639,509391,2.0599971338323604,3.8863449096679688,0.2018144130706787,0.10966610908508301,True
999.dcm,dx_8b,8,1024x1024,1049356,902,0.4,jxl,323600,63.600137059093896,0.9999013793627298,281519,3.727478429519855,2.1478195190429688,1.4504666328430176,0.2556953430175781,True
999.dcm,dx_8b,8,1024x1024,1049356,902,0.4,j2k,323600,63.600137059093896,0.9999013793627298,311066,3.3734191457761376,2.3732452392578125,0.47798991203308105,0.13720989227294922,True
999.dcm,dx_8b,8,1024x1024,1049356,902,0.4,jls,323600,63.600137059093896,0.9999013793627298,299836,3.4997665390413424,2.287567138671875,0.4349653720855713,0.12851619720458984,True
999.dcm,dx_8b,8,1024x1024,1049356,902,0.4,png,323600,63.600137059093896,0.9999013793627298,577466,1.8171736517820962,4.4057159423828125,0.18573856353759766,0.09627318382263184,True
